organizationNr,name,registrationDate,nrEmployees,ownedBy_organizationNr,ownershipPercentage,organizationForm,address,postalCode,town,municipalityNr,municipality,countryCode,country
976085817,BARENTSSEKRETARIATET IKS,1996-02-13,16,null,null,IKS,Rådhusgata 8,9900,KIRKENES,2030,SØR-VARANGER,NO,Norge
974789906,DYRØY KOMMUNE SKOLE- OG KULTURADMINISTRASJON,1997-02-20,83,864994032,0.66,ORGL,Dyrøytunet 1,9311,BRØSTADBOTN,1926,DYRØY,NO,Norge
974640201,"HOLMESTRAND KOMMUNE HELSE, SOSIAL OG OMSORG",1996-09-01,901,917151229,0.04,ORGL,Rådhusgaten 11,3080,HOLMESTRAND,0715,HOLMESTRAND,NO,Norge
974775670,STRYN KOMMUNE KOMMUNALTEKNIKK,1996-10-26,77,963989202,0.06,ORGL,Tonningsgata 4,6783,STRYN,1449,STRYN,NO,Norge
974781530,FEDJE KOMMUNE SENTRALADMINISTRASJON,1997-02-20,7,944041036,0.49,ORGL,Stormarkvegen 49,5947,FEDJE,1265,FEDJE,NO,Norge
974794950,SØR-VARANGER KOMMUNE SENTRALADMINISTRASJON,1997-06-11,66,942110286,0.36,ORGL,Rådhusplassen 3,9900,KIRKENES,2030,SØR-VARANGER,NO,Norge
974791811,TYSFJORD KOMMUNE TEKNISK ETAT,1996-10-26,42,972417769,0.6,ORGL,,8590,KJØPSVIK,1850,TYSFJORD,NO,Norge
979916175,TROMS FYLKESKOMMUNE NÆRINGSETATEN,1998-06-17,22,864870732,0.11,ORGL,Strandvegen 13,9007,TROMSØ,1902,TROMSØ,NO,Norge
991193820,ORKDAL KOMMUNE INTERKOMMUNAL BARNEVERNTJENESTE,2007-04-28,16,958731558,0.88,ORGL,Allfarveien 5,7300,ORKANGER,5024,ORKDAL,NO,Norge
974794160,ALSTAHAUG KOMMUNE SENTRALADMINISTRASJON,1997-02-20,74,938712441,0.62,ORGL,Strandgata 52,8800,SANDNESSJØEN,1820,ALSTAHAUG,NO,Norge
974794004,PPT FOR NORD-TROMS,1997-02-20,8,943350833,0.09,ORGL,IMO-bygget Sentrum 7,9151,STORSLETT,1942,NORDREISA,NO,Norge
874635502,"ENEBAKK KOMMUNE KULTUR-, OPPVEKST- OG SKOLEAVDELING",1996-08-28,467,964949581,0.51,ORGL,Prestegårdsveien 4,1912,ENEBAKK,0229,ENEBAKK,NO,Norge
938709866,RØYKEN KOMMUNE,1995-06-07,2174,null,null,KOMM,Katrineåsveien 20,3440,RØYKEN,0627,RØYKEN,NO,Norge
987679247,MIDT-TELEMARK BARNEVERNSTJENESTE,2005-01-04,39,964963460,0.96,ORGL,Gvarvgata 53,3810,GVARV,0822,SAUHERAD,NO,Norge
992636459,NORDKAPPREGIONEN HAVN IKS,2008-05-19,4,null,null,IKS,Holmen 2 A,9750,HONNINGSVÅG,2019,NORDKAPP,NO,Norge
974642131,VESTFOLD FYLKESKOMMUNE KULTURSEKTOREN,1996-06-14,50,944025391,0.47,ORGL,Svend Foyns gate 9,3126,TØNSBERG,0704,TØNSBERG,NO,Norge
974793040,HAMMERFEST KOMMUNE SEKTOR SAMFUNN OG UTVIKLING,1997-06-11,290,964830533,0.54,ORGL,Storgata 17,9600,HAMMERFEST,2004,HAMMERFEST,NO,Norge
992549394,NORD-GUDBRANDSDAL RENOVASJONSSELSKAP IKS,2008-05-10,18,null,null,IKS,Dovre kommune,2662,DOVRE,0511,DOVRE,NO,Norge
976822110,BOKBUSSEN FOR VESTERÅLEN,1996-10-26,2,945452676,0.8,ORGL,,8470,BØ I VESTERÅLEN,1867,BØ,NO,Norge
974642948,ENEBAKK KOMMUNE SENTRALADMINISTRASJON,1996-08-28,40,964949581,0.81,ORGL,Prestegårdsveien 4,1912,ENEBAKK,0229,ENEBAKK,NO,Norge
974642093,BUSKERUD FYLKESKOMMUNE UTDANNINGSADMINISTRASJON,1996-05-28,2501,964951373,0.8,ORGL,Hauges gate 89,3019,DRAMMEN,0602,DRAMMEN,NO,Norge
988006459,ULVIK KOMMUNE PLEIE OG OMSORG,2005-03-15,110,971159928,0.12,ORGL,Prestagarden 14,5730,ULVIK,1233,ULVIK,NO,Norge
992209410,KRISESENTERET FOR MOLDE OG OMEGN IKS,2008-02-26,30,null,null,IKS,Øvre veg 5,6413,MOLDE,1502,MOLDE,NO,Norge
912494497,SETESDAL BARNEVERN,2013-09-25,8,964966575,0.92,ORGL,Valle sentrum,4747,VALLE,0940,VALLE,NO,Norge
915185614,ANDØY HAVN KF,2015-04-20,13,945624809,0.13,KF,Hamnegata 71,8480,ANDENES,1871,ANDØY,NO,Norge
974641135,TOKKE KOMMUNE TEKNISK ETAT,1996-08-28,69,964964521,0.78,ORGL,Storvegen 60,3880,DALEN,0833,TOKKE,NO,Norge
958814968,BYKLE KOMMUNE,1995-06-07,291,null,null,KOMM,Sarvsvegen 14,4754,BYKLE,0941,BYKLE,NO,Norge
999235905,BALESTRAND KOMMUNE ADMINISTRASJON,2012-12-06,7,970184252,0.36,ORGL,Kong Beles veg 20,6899,BALESTRAND,1418,BALESTRAND,NO,Norge
961381630,SØNDRE LAND KOMMUNE,1995-06-07,966,null,null,KOMM,Hovsbakken 1,2860,HOV,0536,SØNDRE LAND,NO,Norge
914122082,SAUDA KOMMUNE FELLESTJENESTER,2014-09-08,55,964979367,0.46,ORGL,Rådhusgata 32,4200,SAUDA,1135,SAUDA,NO,Norge
990983291,NAV IKT,2007-03-05,0,889640782,0.85,ORGL,Sannergata 2,0557,OSLO,0301,OSLO,NO,Norge
984290160,SELBU NÆRINGSSELSKAP KF,2002-03-15,0,971197609,0.4,KF,Selbu rådhus,7580,SELBU,5032,SELBU,NO,Norge
974774003,BØMLO KOMMUNE HELSE- OG SOSIALADMINISTRASJON,1997-02-20,757,834210622,0.61,ORGL,Rådhuset Leirdalen 1,5430,BREMNES,1219,BØMLO,NO,Norge
974773317,HÅ KOMMUNE HELSE- OG SOSIALETAT,1996-10-26,1350,964969590,0.37,ORGL,Lyngvegen 14,4365,NÆRBØ,1119,HÅ,NO,Norge
970018131,UTDANNINGSDIREKTORATET,1995-03-12,392,872417842,0.22,ORGL,Schweigaards gate 15 B,0191,OSLO,0301,OSLO,NO,Norge
945685263,EIDE KOMMUNE,1995-06-07,714,null,null,KOMM,,6490,EIDE,1551,EIDE,NO,Norge
974761521,FLORA HAMN KF,1995-08-09,7,935473578,0.36,KF,Fugleskjærkaia,6905,FLORØ,1401,FLORA,NO,Norge
988983837,NIBIO - NORSK INSTITUTT FOR BIOØKONOMI,2005-11-28,749,972417874,0.22,ORGL,Høgskoleveien 7,1433,ÅS,0214,ÅS,NO,Norge
974791889,EVENES KOMMUNE HELSE- OG SOSIALADMINISTRASJON,1996-10-26,13,940642140,0.55,ORGL,Bjellgamveien 5,8534,LILAND,1853,EVENES,NO,Norge
974766655,TYSVÆR KOMMUNE RESULTATOMRÅDE SKULE,1996-09-01,479,964979812,0.56,ORGL,,5570,AKSDAL,1146,TYSVÆR,NO,Norge
976819837,OSLO KOMMUNE BYRÅDSLEDERENS KONTOR,1997-10-29,78,958935420,0.93,ORGL,Rådhuset,0037,OSLO,0301,OSLO,NO,Norge
970491589,MODUM KOMMUNE,1995-06-07,1962,null,null,KOMM,Rådhusveien 1,3370,VIKERSUND,0623,MODUM,NO,Norge
976634454,"REGIONKONTOR LANDBRUK LØRENSKOG, NITTEDAL, RÆLINGEN, SKEDSMO OG OSLO",1996-08-28,7,938275130,0.16,ORGL,Voldgata 10,2000,LILLESTRØM,0231,SKEDSMO,NO,Norge
981548183,MOSS KOMMUNALE EIENDOMSSELSKAP KF,2000-07-26,34,944383476,0.09,KF,Værftsgata 7,1511,MOSS,0104,MOSS,NO,Norge
974766507,VOSS KOMMUNE KOMMUNALAVDELING OPPVEKST,1996-09-01,1010,960510542,0.42,ORGL,Uttrågata 9,5700,VOSS,1235,VOSS,NO,Norge
974790440,SØRFOLD KOMMUNE SKOLEADMINISTRASJON,1996-10-26,122,972417750,0.99,ORGL,,8226,STRAUMEN,1845,SØRFOLD,NO,Norge
988240869,NORDHORDLAND INTERKOMMUNALE LEGEVAKT,2005-05-23,52,935084733,0.92,ORGL,Kvassnesvegen 48A,5914,ISDALSTØ,1263,LINDÅS,NO,Norge
975804569,FOLLO REN IKS,1995-10-13,72,null,null,IKS,Kveldroveien 4,1407,VINTERBRO,0214,ÅS,NO,Norge
974765985,FLORA KOMMUNE SKULEADMINISTRASJON,1996-09-01,708,935473578,0.66,ORGL,Strandgata 30,6905,FLORØ,1401,FLORA,NO,Norge
984120877,SOLA KOMMUNE TJENESTEOMRÅDE LEVEKÅR,2002-01-17,1158,948243113,0.35,ORGL,Rådhusvegen 30,4050,SOLA,1124,SOLA,NO,Norge
918321411,SKATTEOPPKREVJAREN I GLOPPEN OG EID,2017-01-05,0,938521816,0.31,ORGL,Rådhusvegen 11,6770,NORDFJORDEID,1443,EID,NO,Norge
940158893,HEMNE KOMMUNE,1995-06-07,682,null,null,KOMM,Trondheimsveien 1,7200,KYRKSÆTERØRA,5011,HEMNE,NO,Norge
982180503,KONGESKIPET NORGE KS NORGE,2000-07-05,0,972417823,0.44,ORGL,Oslo Mil/Akershus,0015,OSLO,0301,OSLO,NO,Norge
976634802,LESJA OG DOVERE BRANN OG BEREDSKAP- BEREDSKAPSAVDELING,1996-08-28,29,939849831,0.28,ORGL,Almenningsvegen 35,2660,DOMBÅS,0511,DOVRE,NO,Norge
974792508,LAVANGEN KOMMUNE LOABÁGA SUOHKAN TEKNISK ETAT,1997-02-20,29,959469881,0.65,ORGL,Nessveien 7,9357,TENNEVOLL,1920,LAVANGEN,NO,Norge
974251760,HØGSKOLEN I INNLANDET - HEDMARK,1995-03-12,0,872417842,0.14,ORGL,Hamarvegen 112,2406,ELVERUM,0427,ELVERUM,NO,Norge
974643545,NES KOMMUNE SENTRALADMINISTRASJON,1996-08-28,27,964951640,0.9,ORGL,Rukkedalsvegen 46,3540,NESBYEN,0616,NES,NO,Norge
913286855,KEMNEREN I KRISTIANSANDSREGIONEN,2014-02-25,0,963296746,0.6,ORGL,Rådhuskvartalet Rådhusgata 18,4611,KRISTIANSAND S,1001,KRISTIANSAND,NO,Norge
874794392,TJELDSUND KOMMUNE SENTRALADMINISTRASJON,1997-02-20,9,959469237,0.85,ORGL,Tjeldøyveien 800,9444,HOL I TJELDSUND,1852,TJELDSUND,NO,Norge
974761017,POLITIHØGSKOLEN,1995-08-09,601,915429785,0.99,ORGL,Slemdalsveien 5,0369,OSLO,0301,OSLO,NO,Norge
970534644,OSLO KOMMUNE BYDEL 12 ALNA,1995-02-20,1717,876819872,0.61,ORGL,"Inng. C, 4. etg. Trygve Lies plass 1",1051,OSLO,0301,OSLO,NO,Norge
974775956,ØRSTA KOMMUNE HELSE OG VELFERD,1996-09-01,100,939461450,0.15,ORGL,Dalevegen 6,6153,ØRSTA,1520,ØRSTA,NO,Norge
985987246,OMSORGSBYGG OSLO KF,2003-09-25,197,958935420,0.5,KF,Sommerrogata 1,0255,OSLO,0301,OSLO,NO,Norge
997851757,NOTODDEN INTERKOMMUNALE LEGEVAKT,2012-01-18,62,938583986,0.86,ORGL,Teatergata 3,3674,NOTODDEN,0807,NOTODDEN,NO,Norge
